Title,Ingredients,Recipe,Prep & Cooking Time
Apple Pork Tenderloin,"2 pork tenderloins; 3 Granny Smith apples; 30 cl apple juice; 50 g hazelnuts; 1 pinch dried chili pepper; 50 g + 60 g butter; Salt","Trim the pork tenderloins and cut them into medallions (grenadins). Cut the apples into quarters and core them. In a skillet, sauté the tenderloins with the apples in 50 g of butter for 10 minutes over low heat, turning them regularly. Deglaze with the apple juice, reduce by half, and add 60 g of cold butter. Emulsify by bringing to a boil. Sprinkle with roughly crushed hazelnuts and chili. Season with salt.","Preparation 15 minutes, Cooking 20 minutes"
Lemongrass Pork Linguine,"500 g pork tenderloin; 200 g linguine; 2 bay leaves; 2 lemongrass stalks; Peel of 1 lemon; 1 red chili pepper; 60 cl vegetable broth; 20 cl heavy cream; 1 red onion; 2 garlic cloves; 3 tbsp olive oil; Salt, pepper","Peel and slice the red onion and garlic. Cut the lemongrass in half. Roughly slice the chili pepper. Cut the pork into thin strips. In a frying pan, sauté the onion in olive oil with the garlic, lemongrass, chili, bay leaves, and lemon peel for 5 minutes. Moisten with the broth and bring to a boil. Add the linguine and stir for 3 minutes. Add the meat and cream, and continue cooking according to the time indicated on the pasta package. Season.","Preparation 15 minutes, Cooking 15 minutes"
Cochinchine Pork,"500 g pork shoulder/collar; 80 g Chinese vermicelli; 50 g dried wood ear mushrooms; 2 carrots; 30 g salted peanuts; 1 lemongrass stalk; 2 shallots; 4 garlic cloves; 3 tbsp sesame oil; 1 tbsp brown sugar; 2 tbsp soy sauce; ½ bunch parsley; Salt, pepper","In a non-stick frying pan, boil 1 cm of water with the mushrooms for 5 minutes. Turn off the heat, add the vermicelli, and leave for 3 minutes. Drain. Peel and slice the garlic, shallots, and lemongrass. Peel and cut the carrots into thin matchsticks, then slice the pork into strips. In the same pan, sauté the pork in sesame oil with the shallots, carrots, garlic, peanuts, and lemongrass. Pour in the sugar and cook over low heat for 5 minutes. Add the soy sauce, vermicelli, and mushrooms, and cook for an additional 5 minutes. Sprinkle with parsley leaves and season.","Preparation 15 minutes, Cooking 15 minutes"
Pineapple Chili Pork,"600 g pork shoulder/collar; 1 small pineapple; 3 onions; 1 red chili pepper; 1 green chili pepper; 10 cl white wine; 3 tbsp tamarind sauce; 50 g butter; 2 tbsp olive oil; Salt","Cut the pork shoulder into small 2 cm cubes. Finely chop the chili peppers. Peel and slice the onions. Peel the pineapple, remove the eyes, and cut it into cubes the same size as the meat. In a frying pan, sauté the onions with the pork in a mixture of butter and olive oil for 10 minutes, browning them well. Add the pineapple and chili peppers, moisten with white wine, pour in the tamarind sauce, and cook for another 20 minutes until the liquid evaporates completely. Season with salt.","Preparation 15 minutes, Cooking 30 minutes"
Pork Chop Spinach Pickle,"4 pork chops; 1 kg baby spinach leaves; 50 g gherkins/pickles; 3 onions; 10 cl Muscat wine; 20 cl heavy cream; 30 g butter; 1 tbsp olive oil; Salt, pepper","Peel and finely chop the onions. Slice the gherkins lengthwise. Rinse the baby spinach leaves. In a frying pan, cook the pork chops in butter and oil for 10 minutes on each side. Remove the chops and set them aside on a plate. Add the onions to the pan, let them brown, deglaze with Muscat, then add the spinach and cream. Season, reheat the chops in this mixture for 5 minutes, and add the gherkins before serving.","Preparation 15 minutes, Cooking 30 minutes"
Pork Shoulder Dried Fruit,"4 pork shoulder steaks; 2 onions; 50 g dried figs; 50 g prunes; 50 g dried cranberries; 200 g red kuri squash; 1 sprig rosemary; 15 cl orange juice; 50 g butter; 3 tbsp olive oil; Salt, pepper","Cut the figs and prunes in half. Peel the squash and cut into chunks. Peel and slice the onions. In a pan, brown the pork steaks in oil with the rosemary, onions, and squash for 10 minutes on each side. Set the meat aside on a plate. Add the dried fruits to the pan, deglaze with orange juice, and mix. Cook for 5 minutes, add the butter, and return the pork steaks to the pan. Coat with sauce and season.","Preparation 10 minutes, Cooking 30 minutes"
Rosemary Tofu Quinoa,"200 g tofu; 150 g quinoa; 1 shallot; 1 carrot; 1 sprig rosemary; 1 small zucchini; 40 cl vegetable broth; 50 g butter; 10 cl heavy cream; Salt, pepper","Peel and slice the shallot. Peel the carrot and cut it, along with the zucchini, into small cubes. In a non-stick pan, sauté the vegetables in butter, then add the quinoa, tofu, and rosemary. Moisten with the broth and cook for 15 minutes, stirring regularly. Add the cream and season.","Preparation 10 minutes, Cooking 15 minutes"
Veggie Quinoa with Cream Quenelle,"200 g quinoa; 3 shallots; 2 celery stalks; 2 sprigs flat-leaf parsley; 3 sprigs dill; 50 cl vegetable broth; 3 tbsp olive oil; 1 tbsp thick heavy cream/crème fraîche; 1 tsp paprika; Salt, pepper","Peel and finely chop the shallots. Finely chop the celery along with its leaves, as well as the parsley and dill. In a non-stick pan, sauté the celery and shallots in olive oil over low heat for 5 minutes. Add the quinoa and let it brown for 2 minutes. Moisten with broth and cook over low heat for 15 minutes until the quinoa is tender. Season. Add the dill and parsley, top with a quenelle of thick cream, and sprinkle with paprika.","Preparation 10 minutes, Cooking 20 minutes"
Pumpkin Radish Tofu,1 bunch pink radishes; 200 g pumpkin; 100 g smoked tofu; 1 tbsp green peppercorns in vinegar; 1 tbsp honey; 3 shallots; 60 g butter; 30 cl vegetable broth; Salt,"Cut the radishes, keeping 1 cm of greens. Peel the pumpkin and cut it into pieces. Peel and roughly slice the shallots. Cut the tofu into 1 cm cubes. Place the vegetables in a pan, cover them with broth, add the butter and honey, and let reduce until completely evaporated. Add the tofu and green peppercorns, then cook for an additional 5 minutes. Season with salt.","Preparation 15 minutes, Cooking 10 minutes"
Mascarpone Potato,4 large Bintje-type potatoes; 150 g mascarpone; 1 yogurt; 1 bunch chives; 3 tbsp olive oil; 50 g butter; 30 cl vegetable broth; Fleur de sel,"Peel the potatoes and place them between two clean pencils. Make hasselback cuts into them with a knife down to the level of the pencils. In a non-stick pan, heat the butter. Cook the potatoes on the cut side for 5 minutes. Turn them over and cook for another 5 minutes. Moisten with vegetable broth, cover, and cook over low heat for 10 minutes. Mix the mascarpone and yogurt, add the chopped chives and olive oil, and season. Top the potatoes with this mixture.","Preparation 10 minutes, Cooking 20 minutes"
